"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Early-demographic dividend","EAR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","183175000","188513000","153082000","182561000","325915000","510218000","674356000","840091000","857655000","1325620000","1692830000","1966071000","1745283000","2013345000","2395609000","2458236000","2698424000","3688925000","4348005000","3329009000","5398486000","2628527000","1042133000","2822340000","-277770000","1100706000","-268879000","-467120000","1442693000","1154108000","1607738000","653784000","-4128396000","-5827782000","-1413553000","-1910765000","-5453634000","927657000","1683152000","9646123000","10032917000","4137066000","3669099000","2472396000","2775375000","5840342000","3673468000","2357895000","5134110000","7137462000","","","",
"East Asia & Pacific","EAS","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","42288000","66859000","114139000","102375000","171006000","397682000","576236000","531446000","735612000","938523000","863255000","1284088000","1607528000","1815653000","1629275000","1438236000","854646000","959831000","408389000","1085248000","668153000","1049020000","163197000","1243057000","306990000","699455000","138065000","3847500000","4849094000","2668799000","1051777000","168745000","-2365068000","-4557338000","-4252562000","-1504270000","-1361992000","-1458922000","-33134000","710641000","2081156000","1089691000","731194000","1897764000","1230418000","3318329000","1734352000","2326957000","2080521000","2190111000","","","",
"Europe & Central Asia (excluding high income)","ECA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","42012000","51991000","59096000","84357000","139976000","214360000","199437000","223324000","275508000","487743000","483320000","514755000","617444000","504379000","754011000","614985000","386907000","343954000","48399000","-325834000","-129558000","-472489000","-452168000","-6940000","459304000","1115588000","1435230000","2871000000","1605431000","1031408000","1289262000","1578039000","200906000","-692144000","263852000","-1032961000","-95195000","-199347000","422365000","1919407000","3084097000","1261103000","1313925000","985352000","2223259000","1161375000","955855000","997649000","274854000","505153000","623833000","809651000","",
"Europe & Central Asia","ECS","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","46912000","65091000","67796000","99257000","150176000","241631000","332780000","374804000","441136000","623372999","710129000","853204000","965378000","830156150","911384000","682600094.27","348273334.71","301204970.5","-780414386.1","-931171796.36","41910538.76","319734364.18","390663290.71","869838687.37","1487671330.91","1518883908.36","1702405832.25","3453814820.07","1018541388.12","1359121871.79","1728305433.27","1762406149.26","358103691.81","-1241409431.15","-332021270.02","-1152983619.09","-100934145.25","-591487930.12","321000391.46","5249814941.12","4519905000","3007227000","1959235000","2926591000","2925987000","2486105000","564601000","1445434000","174347000","477724000","","","",
"Ecuador","ECU","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","-222000","-1672000","2342000","1511000","1387000","5840000","-1048000","1666000","16745000","24832000","24197000","41829000","22383000","27371000","47727000","15536000","125702000","94865000","124643000","30680000","5146000","-18379000","-10999000","-41032000","17573000","221351000","-29784000","-55648000","5854000","8323000","-20648000","48259000","-60025000","59335000","-52933000","-35160000","-53475000","-62240000","-71316000","-80685000","-85461000","-78982000","-71221000","-66610000","-51843000","74044000","-10078000","153705000","218847000","634283000","1345486000","303992000","",
"Egypt, Arab Rep.","EGY","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","-5500000","-5500000","-5500000","-5500000","-5500000","13670000","36004000","36947000","56452000","115324000","162077000","119304000","76316000","112102000","165599000","148320000","76634000","14026000","-27660000","-33632000","-83842000","-112848000","50111000","-44862000","-42354000","-155539000","-151782000","-122792000","-66891000","-74225000","-80540000","-55059000","-46594000","-47977000","-51783000","19795000","41975000","626045000","65422000","595397000","693585000","251568000","317815000","335320000","424576000","810363000","1648066000","1399096000","1625286000","1443900000","832107000","151589000","",
"Euro area","EMU","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Estonia","EST","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1060000","18945000","9659000","18043000","16466000","10901000","10271000","15718000","-9420000","-2525000","-35194000","1914000","-4137000","-5086000","-6079000","-6608000","-7234000","-6721000","-4405000","-3478000","-3308000","-2095000","-2132000","-842000","0","","","","","","",
"Ethiopia","ETH","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","2621000","9732000","7086000","3239000","-928000","2905000","-823000","-2888000","-3074000","-3213000","-3589000","-3916000","-4003000","-4115000","-4669000","-4485000","-6294000","-9363000","-9775000","-9743000","-6794000","-7278000","-6682000","-5753000","-3771000","-4008000","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"European Union","EUU","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fragile and conflict affected situations","FCS","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","20987000","37750000","73804000","17033000","29715000","63579000","76528000","98066000","105734000","87211000","106920000","101896000","121295000","236912000","320639000","286649000","486249000","333560000","98237000","447341000","1060825000","417167000","171449000","11894000","-263162000","-348502000","-425874000","-522407000","-288527000","-445134000","-459476000","-325481000","-440155000","-375684000","-493459000","-361353000","-457199000","-172625000","-265787000","-197904000","305467000","121227000","337069000","232171000","323514000","1492565000","1812662000","939541000","83461000","321242000","","","",
"Finland","FIN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Fiji","FJI","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","657000","","5020000","5343000","3708000","3872000","4376000","2449000","3140000","4976000","9100000","10870000","16832000","-695000","-5473000","-5642000","-6397000","-1472000","-3644000","-4047000","-3439000","-9747000","-10689000","-7048000","-5887000","-92000","423000","-522000","-3304000","-6782000","-3814000","-3839000","-2111000","-2251000","-2262000","-2210000","-1774000","-1320000","-1391000","-18000","","","","","","50178000","3385000","19537000","3106000","6467000","32711000","",
"France","FRA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Faroe Islands","FRO","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","-965000","-1684000","-3543000","-4199000","-2555000","1999000","1675000","319000","-22000","-948000","-1695000","-1663000","-1731000","-595000","-2305000","-1359000","-1219000","-1257000","7605000","36614000","8763000","9391000","3398000","3047000","22829000","-8420000","-10574000","-7106000","-2685000","-5946000","-3894000","-9061000","-5912000","-3227000","-11684000","-6979000","-11780000","-7764000","9176000","-2286000","5578000","14149000","-1513000","753000","-588000","17285000","21194000","249320000","63910000","220031000","46254000","24759000","",
"United Kingdom","GBR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Georgia","GEO","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99966000","72847000","102973000","73870000","47156000","88979000","148522000","49257000","173101000","38914000","37525000","197807000","103770000","",
"Ghana","GHA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","-1376000","1173000","350000","-682000","-1907000","-2018000","-1446000","4406000","23489000","26821000","21293000","14619000","2297000","-3368000","-2144000","-1777000","-8823000","-11415000","-11172000","-9078000","-10378000","-11696000","-12148000","-13043000","-13429000","-15004000","-10014000","-10906000","-4120000","-7682000","-8110000","-3332000","-1178000","-1926000","-1607000","-2249000","","","","","","","","","","","","","","","","","",
"Gibraltar","GIB","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","15236000","24159000","22101000","5880000","-1995000","-2135000","-2280000","-2430000","-2595000","-2765000","-2950000","-3150000","-3365000","-3585000","-5590000","-5014000","-7847000","-10020000","-12042000","-10920000","-11862000","-12349000","-14565000","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gambia, The","GMB","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea-Bissau","GNB","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Equatorial Guinea","GNQ","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",
"Greece","GRC","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","4900000","13100000","8700000","14900000","10200000","8200000","8900000","6900000","100000","699999","9900000","2300000","8100000","9300000","26500000","798938.74","-23803384.31","-33201178.77","-35822988.48","-35865486.87","-42435612.1","-21773943.1","-15656988.04","-10932295.82","-6084176.18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","",
"Grenada","GRD","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","367000","1863000","1149000","795000","2190000","1456000","2280000","-1053000","3018000","-478000","-754000","3385000","-1483000","-1231000","-1397000","-1331000","3564000","-1132000","-1038000","-770000","-535000","650000","-36000","",
"Greenland","GRL","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guatemala","GTM","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","2074000","3287000","4492000","5518000","6643000","5677000","2998000","4026000","17872000","44112000","35419000","27482000","14766000","6477000","-5724000","35516000","-435000","-10573000","-22359000","-12495000","11161000","-16798000","-58054000","-38684000","-15425000","-26274000","55877000","4256000","13779000","55317000","38178000","34666000","69535000","27090000","50017000","1445000","162576000","98177000","66113000","306296000","259982000","20038000","2481000","154152000","-51770000","269290000","-86180000","-123752000","162736000","-77517000","117625000","-69160000","",
"Guam","GUM","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guyana","GUY","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","254000","1717000","2008000","2436000","3620000","5344000","3164000","1497000","5253000","9099000","1417000","6098000","13167000","7291000","2972000","-384000","-1145000","9000","","-999000","-30865000","-5744000","-7240000","-5905000","-5363000","-5960000","-5386000","-4765000","-4664000","-3158000","-3164000","-2510000","-2817000","-2327000","-913000","","","","","","","","","","","","","","","","","","",
"High income","HIC","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hong Kong SAR, China","HKG","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Honduras","HND","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","9209000","3632000","502000","5935000","5402000","11235000","10780000","19523000","21766000","23141000","20279000","24210000","41033000","50360000","49641000","32202000","11810000","-357000","16783000","1776000","-11936000","-13774000","-42541000","-19886000","-46430000","-51144000","-59214000","-49659000","-48235000","-46865000","-27183000","-4954000","-9683000","-20625000","-15056000","-69662000","","","","","","","","","","","","","","","","","",
"Heavily indebted poor countries (HIPC)","HPC","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Croatia","HRV","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","2592418.23","-2714994.12","7658287.36","27085572.94","-13521351.85","-2192140.11","-3770070.24","-18404555.3","-6613918.53","-28082065.59","29351549.77","88903390.46","100396215.63","42126953.32","66627900.28","33533653.87","56902913.31","104773793.03","112588975.26","35945601.54","11018325.94","169489045.72","2282812.4","143025385.48","39756000","308536000","207379000","-67110000","-25498000","158702000","-42321000","4953000","","","","","","",
"Haiti","HTI","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Hungary","HUN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","57193150","120587000","161627000","179987000","194737000","234220000","164008000","160469000","262292050.3","192843850.3","84638000","-28118570.3","-63168084.9","-419017456.2","-32827217.6","-802343724.6","-23568000","-56666000","-10321000","-62913000","-280468000","-39497000","-39534000","-39021000","-36622000","-29792000","-23085000","-26439000","-9380000","-6426000","-4093000","-3552000","0","0","","","","","","",
"IBRD only","IBD","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","311073000","396145000","492874000","548420000","832321000","1104359000","1160633000","1445946000","1592928000","2291769000","2760010000","3278043000","3500634000","4070634000","4532350000","4373963418.23","4747699005.88","4084913287.36","3371873572.94","2741207648.15","5092087859.89","2738885929.76","348275444.7","3195464081.47","781867934.41","2296934549.77","2687176390.46","4620099215.63","5446492953.32","4861633900.28","4441795653.87","2969516913.31","-4911667206.97","-6984172024.74","-3938288398.46","-2283076674.06","-4673245954.28","1361812.4000001","3618789385.48","14842791000","18950296000","3047147000","8077139000","9631183000","8482591000","12831413000","8955053000","5837412000","6779890000","9390332000","","","",
"IDA & IBRD total","IBT","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","414428000","515126000","626324000","630044000","952561000","1401945000","1478360000","1759738000","1941051000","2629717000","3121392000","3625523000","4067648000","4721899000","5234571000","4799858418.23","5385871005.88","4793843287.36","3627814572.94","3288661648.15","5499023859.89","2672471929.76","206096444.7","2926457081.47","127509934.41","1689155549.77","2069083390.46","4058729215.63","4726678953.32","4423365900.28","3905027653.87","2487830913.31","-5559054206.97","-7580147024.74","-4576569398.46","-2711550674.06","-5055766954.28","-554915187.6","2735226385.48","14258613000","18675298000","2831447000","7942756000","9514973000","8381326000","12722636000","9126934000","6260935000","7253724000","10411281000","","","",
"IDA total","IDA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","103355000","118981000","133450000","81624000","120240000","297586000","317727000","313792000","348123000","337948000","361382000","347480000","567014000","651265000","702221000","425895000","638172000","708930000","255941000","547454000","406936000","-66414000","-142179000","-269007000","-654358000","-607779000","-618093000","-561370000","-719814000","-438268000","-536768000","-481686000","-647387000","-595975000","-638281000","-428474000","-382521000","-556277000","-883563000","-584178000","-274998000","-215700000","-134383000","-116210000","-101265000","-108777000","171881000","423523000","473834000","1020949000","","","",
"IDA blend","IDB","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","54164000","55794000","69913000","22101000","42216000","142500000","158171000","102132000","128325000","101506000","86743000","140291000","253395000","342926000","436703000","389658000","613541000","494632000","359735000","642781000","416440000","281348000","196121000","86393000","-231837000","-204845000","-270656000","12547000","-434973000","-190353000","-395667000","-371879000","-419118000","-466617000","-567532000","-351008000","-374219000","-355832000","-479480000","-302447000","-235131000","-183688000","-118841000","-100912000","-86066000","-96370000","184535000","436320000","470277000","1020742000","","","",
"Indonesia","IDN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","56808000","156366000","189141000","161160000","175585000","300629000","269011000","425884000","401798000","672843000","611339000","579526000","1004135000","1219195000","783428000","436363000","790016000","326560000","430382000","-55577000","89803000","-503056000","-245178000","479068000","732703000","290148000","-280029000","-706026000","-949980000","-825623000","-805217000","-706386000","-601474000","146688000","908567000","1177386000","663551000","750409000","876682000","843874000","2194760000","1378596000","802922000","767274000","806984000","663625000","313000000","",
"IDA only","IDX","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","49191000","63187000","63537000","59523000","78024000","155086000","159556000","211660000","219798000","236442000","274639000","207189000","313619000","308339000","265518000","36237000","24631000","214298000","-103794000","-95327000","-9504000","-347762000","-338300000","-355400000","-422521000","-402934000","-347437000","-573917000","-284841000","-247915000","-141101000","-109807000","-228269000","-129358000","-70749000","-77466000","-8302000","-200445000","-404083000","-281731000","-39867000","-32012000","-15542000","-15298000","-15199000","-12407000","-12654000","-12797000","3557000","207000","13893000","22000000","",
"Isle of Man","IMN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"India","IND","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","-10235000","-16393000","-1963000","-12846000","-9395000","-22560000","17534000","49102000","29117000","9297000","2341000","15606000","61306000","26014000","24074000","87886000","364286000","819044000","1501374000","1226629000","899538000","901042000","432224000","681108000","145466000","-55156000","76077000","-76181000","-97492000","-93780000","-10482000","79042000","-2383422000","-2932758000","748821000","652832000","719566000","656658000","731569000","953895000","2795219000","342883000","256801000","2442000","114935000","492857000","440724000","27322000","540371000","1395993000","2631740000","1169498000","",
"Not classified","INX","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Ireland","IRL","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Iran, Islamic Rep.","IRN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","-66224000","-51948000","-49453000","-48178000","-50790000","-47724000","-55966000","-73638000","-84760000","-60942000","-67166000","-40309000","87923000","51265000","40242000","79373000","110000000","48975000","-21851000","3927000","44355000","-25403000","-56341000","-49259000","-34301000","102064000","181183000","139503000","77154000","74653000","64191000","-62490000","-36782000","-123680000","-91816000","-82456000","-83333000","-83563000","-65073000","-65073000","-13330000","-52167000","",
"Iraq","IRQ","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1184046000","1486055000","105582000","141050000","103386000","69026000","30393000","",
"Iceland","ISL","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Israel","ISR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Italy","ITA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Jamaica","JAM","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","6042000","3883000","1139000","1802000","1142000","6285000","14596000","9442000","44025000","14436000","49778000","35550000","110036000","46466000","31080000","56913000","-7021000","22548000","2175000","-2017000","-26430000","-19289000","-51085000","3979000","-53779000","-23848000","-39179000","-45711000","-40596000","-11266000","37098000","39510000","39888000","-31409000","-40715000","-21993000","-25326000","-28917000","-33990000","71115000","180563000","90191000","-9573000","119931000","-25308000","71777000","-16462000","52966000","3024000","20968000","59730000","116388000","",
"Jordan","JOR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","3722000","22256000","19153000","10609000","27175000","22939000","54597000","67817000","69713000","23956000","9739000","70570000","-14597000","73880000","11876000","1806000","81050000","90886000","25039000","-27406000","95069000","-14760000","106427000","110674000","-30002000","-56730000","-25035000","-35084000","-38359000","-44430000","240010000","-68526000","-82704000","167360000","30748000","253483000","157747000","261524000","13015000","363052000","716555000","311434000","363971000","",
"Japan","JPN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kazakhstan","KAZ","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","181834000","107448000","225076000","201661000","210804000","189820000","29730000","66635000","35943000","-4132000","-27365000","-620984000","-101117000","-76254000","36353000","83837000","1283037000","477684000","333039000","455974000","332298000","-167897000","1052714000","-128128000","-207602000","-175484000","-186545000","-151709000","",
"Kenya","KEN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","1838000","6470000","20649000","17184000","12473000","43713000","63551000","32244000","38582000","33357000","34561000","49762000","72198000","82779000","107947000","43899000","8144000","-20967000","-51881000","-58334000","-91647000","-96164000","-97122000","-100213000","-106442000","-100208000","-88496000","-73811000","-65868000","-58481000","-40409000","-22462000","-11848000","-7712000","-4764000","-1062000","-4000","","","","","","","","","","","","","","294060000","5125000","",
"Kyrgyz Republic","KGZ","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cambodia","KHM","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Kiribati","KIR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Kitts and Nevis","KNA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","162000","0","607000","323000","0","-82000","104000","2744000","996000","2076000","2088000","3214000","1309000","-176000","153000","164000","-131000","-842000","-2547000","-1951000","-1690000","-1425000","-1316000","-1321000","-1321000","","","","","","",
"Korea, Rep.","KOR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","7228000","30944000","55858000","44554000","81047000","181624000","273373000","172226000","294879000","390074000","188664000","268639000","566895000","418853000","394622000","111028000","-102406000","-276646000","-812994000","-215422000","-402240000","-331171000","-216687000","-205761000","-306071000","-316606000","-175577000","2797932000","2875014000","843583000","-187621000","-140158000","-154480000","-2354914000","-1806789000","-531172000","-483715000","-469796000","-457976000","-415996000","0","-402604000","-271460000","-202606000","0","0","0","","","","","","",
"Kuwait","KWT","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Latin America & Caribbean (excluding high income)","LAC","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","228849000","296680000","335593000","378220000","551494000","521481000","360497000","522177000","524901000","827854000","1196204000","1179351000","1253974000","1566789000","2037954000","1696479000","2344691000","1271778000","1183654000","685071000","1877812000","-154359000","-1285916000","399770000","-1313366000","426356000","375265000","526656000","2011101000","1792620000","1946332000","1234009000","-348935000","-424318000","-1161926000","-766191000","-3291033000","-246004000","2310801000","5945987000","8175680000","-3110738000","3342058000","2895447000","1865669000","2168947000","1709762000","-1033839000","1642314000","2074229000","6220903000","3991338000","",
"Lao PDR","LAO","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Lebanon","LBN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","-1402000","-1471000","-1542000","-1615000","-1693000","3617000","-1859000","-1947000","738000","9622000","4488000","6641000","2447000","4990000","1083000","377000","-2623000","-1514000","-5741000","-2042000","-6456000","-4200000","-4637000","17050000","22542000","47121000","27086000","31517000","38437000","36355000","25788000","23907000","35704000","22656000","14174000","-6172000","-52454000","114619000","-75704000","-49760000","3044000","-20991000","-47772000","-43412000","-32761000","13128000","67189000","160804000","69822000","26242000","17979000","44006000","",
"Liberia","LBR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","1749000","1806000","3307000","5973000","2248000","1500000","6523000","6522000","8526000","9930000","15640000","14573000","5933000","4241000","5186000","650000","-4653000","1378000","51000","","","","","","","","","","","","","","0","","","","","-162520000","","","","","","","","","","","","","","","",
