"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Burkina Faso","BFA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bangladesh","BGD","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","-924000","-1363000","-1238000","-1335000","-1933000","-1568000","-1249000","-3366000","-3551000","-3944000","-4606000","-4539000","-4479000","-4448000","-4947000","-5330000","-5211000","-5537000","-6302000","-7278000","","","","","","","","","","","","","","","","","","",
"Bulgaria","BGR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58182000","92051000","2732000","245554000","14526000","39884000","85032000","176413000","198919000","44279000","55785000","2055000","134643000","123733000","114767000","-237324000","136630000","-406544000","284973000","-69886000","-56238000","-55589000","-58578000","-103059000","-86851000","150493000","-80095000","-59658000","-87322000","-85128000","-74596000","",
"Bahrain","BHR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas, The","BHS","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-25053000","","","0","0","-5327000","-23107000","-24097000","-24381000","-23603000","-23618000","-23801000","-24630000","-24695000","25747000","15612000","1111000","-13603000","34668000","57662000","-12794000","-24307000","111621000","23355000","53205000","65760000","",
"Belarus","BLR","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100000","100142000","11228000","13881000","13343000","3567000","1267000","-8754000","-7325000","-9788000","-14348000","-13512000","-8925000","-10284000","-8669000","-866000","213481000","35705000","26212000","106781000","132329000","33156000","51997000","82810000","98216000","83336000","39441000","-9688000","67558000","",
"Belize","BLZ","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","945000","1336000","2439000","373000","665000","510000","4764000","2785000","708000","1103000","485000","4127000","3069000","5232000","10291000","1320000","-58000","-1292000","3270000","1202000","-2762000","-1737000","-3569000","-4852000","-5018000","-4939000","-4577000","-4500000","-2102000","853000","1046000","362000","1438000","2587000","-202000","2302000","462000","8783000","9569000","",
"Bermuda","BMU","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","15315000","7694000","-387000","-1884000","198000","10371000","20345000","22799000","30844000","70013000","27383000","9492000","537000","161000","-1164000","-14566000","-16643000","-22664000","-18796000","-20905000","-25320000","-21544000","-23072000","-24177000","-26499000","-25354000","-19444000","-12772000","-13451000","-11895000","-243000","","","150000","0","0","0","0","-8000","-8000","-8000","-8000","-8000","-8000","99992000","407000","492000","16806000","59715000","308471000","160466000","",
"Brazil","BRA","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","46914000","86780000","138199000","164893000","225445000","223463000","127662000","198258000","191031000","227735000","245178000","251184000","408406000","933944000","968457000","359208000","1011134000","47705000","24239000","-52140000","-468527000","-408371000","-684727000","-807706000","-705640000","-539395000","278215000","367541000","245522000","580355000","805410000","810245000","337644000","-342026000","-116344000","-255394000","1460146000","-198596000","914230000","-597850000","3511731000","-4553080000","2408971000","2259021000","1597142000","474158000","515644000","159453000","-114197000","42972000","-569303000","-262263000","",
"Barbados","BRB","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","0","0","0","0","0","0","0","0","0","26000","839000","3588000","8158000","5326000","5235000","6133000","519000","-1241000","-2980000","-3469000","-1742000","-4214000","-4924000","-5540000","-3878000","-1203000","-2424000","-582000","4515000","-1450000","-3047000","-2661000","-1374000","1649000","-6000","-411000","2453000","651000","-263000","2783000","806000","2946000","1669000","9177000","5783000","-2810000","-2524000","","","","","","",
"Brunei Darussalam","BRN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Net financial flows, IBRD (NFL, current US$)","DT.NFL.MIBR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
